ides,idmun,temp,prec,Value
1,1,29.05,0.0,25
1,2,26.685000000000002,0.0,202
1,3,29.91,0.0,54
1,4,26.035,0.0,906
1,5,28.375,0.0,620
1,6,27.645,0.0,608
1,7,26.065,0.0,239
1,8,25.39,0.0,980
1,9,26.825,0.0,978
1,10,27.425,0.0,251
1,11,28.005000000000003,0.0,83
2,1,20.990000000000002,0.0,466
2,2,29.23,0.0,604
2,3,21.005000000000003,0.0,772
2,4,18.91,0.0,688
2,5,16.495,0.0,14
3,1,25.65,0.0,330
3,2,23.265,0.0,486
3,3,25.015,0.0,14
3,8,24.085,0.0,523
3,9,27.455,0.0,495
4,1,37.769999999999996,0.0,283
4,2,38.489999999999995,0.0,975
4,3,35.05,0.0,277
4,4,38.44,0.0,940
4,5,38.985,0.0,40
4,6,36.67,0.0,757
4,7,35.915,0.0,76
4,8,38.599999999999994,0.0,870
4,9,38.06,0.0,903
4,10,34.495,0.0,365
4,11,38.555,0.0,685
5,1,34.285,0.0,834
5,2,30.67,0.0,16
5,3,33.540000000000006,0.0,322
5,4,21.73,0.09,228
5,5,31.619999999999997,0.0,221
5,6,31.09,0.0,460
5,7,30.490000000000002,0.0,965
5,8,34.45,0.0,922
5,9,29.71,0.0,249
5,10,33.58,0.0,511
5,11,28.215,0.08,167
5,12,34.59,0.0,222
5,13,34.855000000000004,0.0,807
5,14,34.345,0.0,733
5,15,33.894999999999996,0.0,725
5,16,31.869999999999997,0.0,145
5,17,30.12,0.0,299
5,18,32.69,0.0,965
5,19,33.33,0.0,210
5,20,29.0,0.0,370
5,21,33.09,0.0,369
5,22,34.795,0.0,595
5,23,26.805,0.0,409
5,24,28.845,0.08,253
5,25,35.230000000000004,0.0,800
5,26,34.175,0.0,460
5,27,29.835,0.1,914
5,28,34.295,0.0,438
5,29,32.21,0.0,224
5,30,22.895,0.1,834
5,31,29.310000000000002,0.0,11
5,32,34.72,0.0,401
5,33,30.939999999999998,0.0,604
5,34,27.520000000000003,0.0,105
5,35,28.134999999999998,0.15,762
5,36,30.03,0.17,697
5,37,33.405,0.0,924
5,38,31.86,0.0,525
6,1,30.22,0.0,636
6,2,34.16,0.0,302
6,3,32.055,0.0,249
6,4,32.835,0.0,363
6,5,29.975,0.0,541
6,6,33.29,0.0,209
6,7,31.759999999999998,0.0,323
6,8,32.275,0.0,62
6,9,31.53,0.0,747
6,10,33.175,0.0,957
7,1,28.560000000000002,0.22,144
7,2,36.01,0.04,785
7,3,32.400000000000006,0.14500000000000002,834
7,4,29.115000000000002,0.0,87
7,5,34.849999999999994,0.01,461
7,6,22.555,1.17,381
7,7,24.48,0.05,118
7,8,28.615,0.32499999999999996,917
7,9,33.43,0.0,91
7,10,19.97,1.1600000000000001,394
7,11,24.16,1.0350000000000001,115
7,12,35.93,0.02,257
7,13,30.814999999999998,0.05,492
7,14,29.265,0.0,497
7,15,22.46,0.9950000000000001,846
7,16,37.730000000000004,0.0,105
7,17,35.225,0.0,984
7,18,32.415,0.05,788
7,19,27.54,0.05,30
7,20,30.314999999999998,0.08,345
7,21,34.275000000000006,0.04,174
7,22,27.855,0.05,114
7,23,25.035,0.02,728
7,24,26.11,0.05,90
7,25,32.055,0.005,251
7,26,26.5,0.05,598
7,27,36.335,0.05,184
7,28,34.4,0.005,571
7,29,33.614999999999995,0.05,708
7,30,29.375,0.615,258
7,31,32.269999999999996,0.015,365
7,32,27.95,0.8,365
7,33,33.685,0.0,610
7,34,31.049999999999997,0.535,775
7,35,32.64,0.05,263
7,36,20.655,1.09,383
7,37,30.85,0.45,896
7,38,22.98,0.035,740
7,39,30.82,0.04,928
7,40,31.71,0.6699999999999999,372
7,41,28.415,0.005,999
7,42,29.745,0.01,255
7,43,33.650000000000006,0.0,653
7,44,30.09,0.04,757
7,45,35.595,0.0,426
7,46,35.07,0.0,845
7,47,28.14,0.05,269
7,48,38.385,0.0,372
7,49,25.490000000000002,0.05,183
7,50,37.015,0.0,906
7,51,28.485,0.205,693
7,52,29.405,0.03,278
7,53,18.310000000000002,1.475,663
7,54,31.075,0.04,248
7,55,32.105000000000004,0.115,306
7,56,23.215,0.03,876
7,57,21.689999999999998,1.385,497
7,58,32.53,0.025,689
7,59,33.925,0.005,724
7,60,32.144999999999996,0.01,170
7,61,35.379999999999995,0.03,309
7,62,36.46,0.0,209
7,63,34.89,0.05,911
7,64,25.85,0.02,643
7,65,37.349999999999994,0.0,167
7,66,29.945,0.05,536
7,67,30.35,0.04,411
7,68,36.305,0.0,738
7,69,31.09,0.02,204
7,70,19.475,1.225,129
7,71,32.650000000000006,0.42000000000000004,331
7,72,29.29,0.04,841
7,73,29.515,0.04,308
7,74,39.765,0.0,296
7,75,28.695,0.045,235
7,76,32.5,0.025,174
7,77,37.625,0.0,383
7,78,25.695,0.02,90
7,79,35.269999999999996,0.04,240
7,80,21.48,1.105,287
7,81,29.634999999999998,0.05,789
7,82,30.105,0.03,138
7,83,31.95,0.055,565
7,84,32.315,0.0,200
7,85,32.33,0.0,987
7,86,37.18,0.05,378
7,87,31.5,0.04,903
7,88,35.769999999999996,0.0,763
7,89,28.57,1.155,437
7,90,30.78,0.015,589
7,91,28.6,0.02,280
7,92,37.095,0.005,170
7,93,23.575,0.025,445
7,94,26.695,0.025,166
7,96,34.555,0.02,678
7,97,32.675,0.0,994
7,98,32.955,0.015,662
7,99,30.435000000000002,0.1,137
7,100,33.905,0.0,171
7,101,36.355000000000004,0.05,262
7,102,29.755,0.195,552
7,103,28.200000000000003,0.83,103
7,104,31.53,0.05,376
7,105,21.055,0.8300000000000001,378
7,106,34.075,0.05,45
7,107,33.785,0.03,247
7,108,36.34,0.035,608
7,109,31.855,0.01,25
7,110,31.060000000000002,0.0,694
7,111,28.520000000000003,0.02,124
7,112,27.64,0.025,615
7,113,25.78,0.04,730
7,114,39.385000000000005,0.0,15
7,115,34.815,0.0,400
7,116,38.68,0.0,385
7,117,27.505,0.195,366
7,118,28.965,0.04,255
7,119,25.785,0.05,159
7,120,21.48,1.105,668
7,121,29.16,0.03,903
7,122,38.485,0.03,908
7,123,35.265,0.03,970
7,124,37.635,0.0,436
8,1,24.009999999999998,0.0,855
8,2,25.925,0.0,497
8,3,25.425,0.0,171
8,4,25.005000000000003,0.0,926
8,5,23.17,0.0,221
8,6,20.995,0.0,992
8,7,20.555,0.0,608
8,8,30.095,0.0,644
8,9,19.59,0.0,428
8,10,24.105,0.0,988
8,11,26.15,0.0,454
8,12,22.225,0.0,288
8,13,22.805,0.0,35
8,14,25.174999999999997,0.0,575
8,15,25.494999999999997,0.0,320
8,16,27.5,0.0,435
8,17,22.81,0.0,720
8,18,21.835,0.0,945
8,19,24.26,0.0,870
8,20,31.365,0.0,30
8,21,26.265,0.0,698
8,22,23.555,0.0,536
8,23,24.28,0.0,522
8,24,24.65,0.0,442
8,25,19.79,0.0,377
8,26,23.93,0.0,123
8,27,20.875,0.0,844
8,28,24.509999999999998,0.0,594
8,29,23.835,0.0,251
8,30,31.05,0.0,551
8,31,23.18,0.0,558
8,32,24.835,0.0,264
8,33,24.325000000000003,0.0,302
8,34,22.63,0.0,227
8,35,22.82,0.0,576
8,36,26.29,0.0,502
8,37,23.759999999999998,0.0,967
8,38,25.35,0.0,459
8,39,25.475,0.0,267
8,40,23.84,0.0,364
8,41,25.09,0.0,558
8,42,25.575,0.0,883
8,43,24.25,0.0,79
8,44,25.185000000000002,0.0,526
8,45,27.775,0.0,880
8,46,29.255,0.0,355
8,47,27.2,0.0,855
8,48,23.05,0.0,968
8,49,23.14,0.0,968
8,50,23.805,0.0,721
8,51,24.979999999999997,0.0,413
8,52,26.35,0.0,374
8,53,24.365000000000002,0.0,976
8,54,22.1,0.0,971
8,55,27.11,0.0,26
8,56,24.634999999999998,0.0,738
8,57,23.21,0.0,889
8,58,26.445,0.0,876
8,59,22.79,0.0,665
8,60,22.475,0.0,100
8,61,24.24,0.0,823
8,62,26.189999999999998,0.0,979
8,63,24.134999999999998,0.0,748
8,64,24.24,0.0,203
8,65,31.155,0.0,741
8,66,28.925,0.0,176
8,67,25.485,0.0,975
9,2,26.549999999999997,0.0,298
9,3,25.4,0.0,40
9,4,21.450000000000003,0.0,770
9,5,27.32,0.0,557
9,6,26.095,0.0,995
9,7,25.46,0.005,590
9,8,22.04,0.0,37
9,9,26.270000000000003,0.0,378
9,10,24.345,0.0,143
9,11,25.0,0.0,432
9,12,24.175,0.0,870
9,13,25.314999999999998,0.0,592
9,14,26.259999999999998,0.0,698
9,15,26.555,0.0,353
9,16,25.43,0.0,715
9,17,26.565,0.0,564
10,1,22.805,0.0,19
10,2,24.060000000000002,0.0,959
10,3,24.915,0.0,705
10,4,24.825,0.1,627
10,5,22.995,0.035,674
10,6,26.205,0.22000000000000003,854
10,7,29.810000000000002,0.0,976
10,8,24.165,0.08,683
10,9,21.814999999999998,0.0,238
10,10,24.125,0.0,689
10,11,24.825000000000003,0.0,566
10,12,29.884999999999998,0.0,831
10,13,28.985,0.0,154
10,14,24.79,0.0,342
10,15,28.605,0.0,719
10,16,25.854999999999997,0.025,56
10,17,23.240000000000002,0.0,462
10,18,26.490000000000002,0.0,328
10,19,22.485,0.0,577
10,20,25.479999999999997,0.005,295
10,21,26.189999999999998,0.05,500
10,22,24.384999999999998,0.09,463
10,23,24.810000000000002,0.0,249
10,24,27.924999999999997,0.0,413
10,25,24.285,0.0,62
10,26,23.145,0.0,16
10,27,26.605,0.20500000000000002,604
10,28,24.884999999999998,0.0,330
10,29,26.33,0.0,201
10,30,26.560000000000002,0.0,373
10,31,25.84,0.09,625
10,32,23.485,0.0,84
10,33,22.91,0.0,296
10,34,29.4,0.0,342
10,35,22.455,0.0,445
10,36,29.994999999999997,0.0,948
10,37,25.775,0.0,889
10,38,24.78,0.03,992
10,39,24.545,0.0,801
11,1,32.095,0.0,581
11,2,27.46,0.0,918
11,3,27.84,0.0,393
11,4,29.384999999999998,0.0,556
11,5,30.225,0.0,769
11,6,27.665,0.0,59
11,7,30.515,0.0,762
11,8,29.75,0.0,119
11,9,29.645,0.0,155
11,10,25.490000000000002,0.0,348
11,11,31.345,0.0,463
11,12,31.515,0.0,470
11,13,24.31,0.0,365
11,14,27.950000000000003,0.0,575
11,15,29.195,0.0,596
11,16,31.4,0.0,351
11,17,32.025000000000006,0.0,508
11,18,31.545,0.0,860
11,19,26.795,0.0,633
11,20,29.655,0.0,843
11,21,29.23,0.0,873
11,22,27.04,0.0,130
11,23,30.54,0.0,341
11,24,32.254999999999995,0.0,997
11,25,29.78,0.0,23
11,26,31.740000000000002,0.0,188
11,27,31.445,0.0,609
11,28,30.189999999999998,0.0,703
11,29,27.384999999999998,0.0,717
11,30,27.799999999999997,0.0,252
11,31,30.61,0.0,219
11,32,25.58,0.0,873
11,33,26.29,0.0,489
11,34,26.185,0.0,586
11,35,30.52,0.0,23
11,36,30.29,0.0,76
11,37,31.06,0.0,326
11,38,26.085,0.0,191
11,39,29.835,0.0,11
11,40,25.68,0.0,353
11,41,29.6,0.0,816
11,42,31.35,0.0,476
11,43,26.925,0.0,934
11,44,31.465,0.0,99
11,45,28.305,0.0,577
11,46,30.04,0.0,429
12,1,33.504999999999995,0.0,348
12,2,35.57,0.0,936
12,3,35.695,0.0,485
12,4,33.725,0.0,721
12,5,37.895,0.0,622
12,6,36.39,0.0,211
12,7,37.31,0.0,169
12,8,37.59,0.0,41
12,9,32.45,0.0,600
12,10,33.535,0.0,301
12,11,31.835,0.0,539
12,12,36.695,0.0,604
12,13,36.915,0.0,113
12,14,32.62,0.0,237
12,15,35.125,0.0,80
12,16,36.245000000000005,0.0,458
12,17,37.129999999999995,0.0,429
12,18,33.28,0.0,989
12,19,37.46,0.0,584
12,20,33.49,0.0,929
12,21,31.589999999999996,0.0,472
12,22,37.285,0.0,572
12,23,34.99,0.0,662
12,24,36.455,0.0,416
12,25,35.33,0.0,628
12,26,36.31,0.0,119
12,27,39.11,0.0,980
12,28,33.519999999999996,0.0,399
12,29,30.65,0.0,582
12,30,30.48,0.0,994
12,31,34.18,0.0,106
12,32,32.48,0.0,113
12,33,37.875,0.0,991
12,34,36.82,0.0,143
12,35,37.035,0.0,75
12,36,37.394999999999996,0.0,943
12,37,31.185,0.0,718
12,38,35.36,0.0,620
12,39,33.095,0.0,639
12,40,31.64,0.0,865
12,41,34.42,0.0,608
12,42,35.905,0.0,347
12,43,34.44,0.0,599
12,44,35.345,0.0,315
12,45,36.89,0.0,680
12,46,37.885000000000005,0.0,858
12,47,29.765,0.0,719
12,48,34.82,0.0,48
12,49,30.36,0.0,524
12,50,41.985,0.0,642
12,51,35.485,0.0,120
12,52,36.44,0.0,724
12,53,35.57,0.0,580
12,54,33.59,0.0,192
12,55,31.994999999999997,0.0,980
12,56,37.085,0.0,133
12,57,33.765,0.0,561
12,58,33.129999999999995,0.0,228
12,59,38.245000000000005,0.0,391
12,60,29.53,0.0,603
12,61,33.239999999999995,0.0,189
12,62,37.269999999999996,0.0,106
12,63,33.43,0.0,583
12,64,39.665,0.0,960
12,65,36.84,0.0,118
12,66,36.129999999999995,0.0,649
12,67,40.989999999999995,0.0,149
12,68,33.22,0.0,648
12,69,34.78,0.0,295
12,70,37.65,0.0,389
12,71,37.685,0.0,393
12,72,28.875,0.0,233
12,73,38.3,0.0,381
12,74,34.900000000000006,0.0,192
12,75,34.974999999999994,0.0,566
12,76,35.13,0.0,744
12,77,34.65,0.0,318
12,78,35.175,0.0,332
12,79,33.255,0.0,253
12,80,35.155,0.0,693
12,81,35.665000000000006,0.0,38
13,1,21.965,0.155,225
13,2,21.994999999999997,0.095,81
13,3,26.03,0.04,582
13,4,23.240000000000002,0.16,741
13,5,26.955,0.0,732
13,6,29.415,0.0,217
13,7,23.185000000000002,0.12000000000000001,902
13,8,23.785,0.08,902
13,9,25.805,0.01,541
13,10,27.36,0.0,914
13,11,33.45,0.0,876
13,12,23.13,0.295,382
13,13,26.935000000000002,0.0,703
13,14,30.185000000000002,0.0,509
13,15,29.02,0.03,509
13,16,20.965,0.08499999999999999,415
13,17,27.494999999999997,0.0,233
13,18,31.6,0.0,76
13,19,28.98,0.0,384
13,20,28.369999999999997,0.02,658
13,21,24.465,0.05,187
13,22,23.23,0.035,957
13,23,27.555,0.0,935
13,24,22.005,0.185,498
13,25,34.25,0.0,536
13,26,32.025,0.0,855
13,27,29.229999999999997,0.035,711
13,28,34.504999999999995,0.0,49
13,29,28.67,0.0,537
13,30,29.58,0.0,183
13,31,31.53,0.0,156
13,32,34.515,0.0,388
13,33,28.784999999999997,0.0,283
13,34,30.12,0.0,373
13,35,22.045,0.1,992
13,36,23.865000000000002,0.35,833
13,37,26.59,0.23500000000000001,630
13,38,23.67,0.045000000000000005,12
13,39,22.435000000000002,0.0,958
13,40,31.369999999999997,0.0,490
13,41,28.17,0.0,395
13,42,29.005,0.03,746
13,43,30.42,0.0,589
13,44,26.740000000000002,0.0,783
13,45,21.825,0.08,98
13,46,35.655,0.0,186
13,47,32.945,0.0,986
13,48,25.585,0.025,765
13,49,31.67,0.0,268
13,50,28.655,0.0,57
13,51,25.23,0.01,654
13,52,26.165,0.005,28
13,53,26.835,0.135,893
13,54,27.715,0.0,348
13,55,27.41,0.05,215
13,56,21.555,0.065,664
13,57,22.3,0.08,474
13,58,30.475,0.0,953
13,59,30.29,0.0,237
13,60,24.015,0.07500000000000001,515
13,61,23.71,0.060000000000000005,956
13,62,31.475,0.0,198
13,63,25.195,0.0,108
13,64,27.605,0.0,958
13,65,27.205,0.0,711
13,66,26.235,0.0,908
13,67,28.165,0.0,586
13,68,27.770000000000003,0.14,849
13,69,26.725,0.0,256
13,70,27.9,0.0,156
13,71,29.86,0.01,759
13,72,25.060000000000002,0.005,132
13,73,31.689999999999998,0.0,132
13,74,27.675,0.0,799
13,75,26.34,0.0,639
13,76,26.75,0.0,286
13,77,21.4,0.09,163
13,78,32.115,0.0,191
13,79,27.994999999999997,0.085,931
13,80,31.98,0.0,558
13,81,25.509999999999998,0.315,958
13,82,26.17,0.0,177
13,83,24.855,0.005,334
13,84,31.195,0.0,426
14,1,29.95,0.0,886
14,2,30.87,0.0,571
14,3,31.47,0.0,863
14,4,25.44,0.0,948
14,5,32.06,0.0,655
14,6,30.36,0.0,26
14,7,31.535,0.0,54
